event_id,ticker,recipient_name,award_id,contract_number,award_date,announcement_time,announcement_source_type,announcement_source_url,announcement_title,announcement_text_excerpt,source_confidence,link_confidence,link_notes
government_contract_KTOS_N0042123C0010,KTOS,"KRATOS UNMANNED AERIAL SYSTEMS, INC",N0042123C0010,N0042123C0010,2022-12-30,2022-12-30T17:00:00-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3256832/,"Contracts For Dec. 30, 2022",DoD announced Kratos Unmanned Aerial Systems was awarded a $15.515 million contract to procure and deliver two XQ-58A unmanned aerial systems for experimentation support. Contracting activity N00421-23-C-0010 maps to USAspending N0042123C0010.,0.88,0.76,"Official DoD timestamp is usable, but the USAspending row aggregates later obligations to $83.5M, materially different from the initial public award."
government_contract_CACI_HS002123F0020,CACI,"CACI, INC. - FEDERAL",HS002123F0020,HS002123F0020,2023-03-01,2023-02-28T17:00:00-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3314133/contracts-for-feb-28-2023/,"Contracts For Feb. 28, 2023","DoD announced CACI Inc. - Federal was awarded a $146.410 million task order HS002123F0020 under IDIQ HS002123D0002 for Defense Counterintelligence and Security Agency background investigation fieldwork services, with $146.410 million obligated at award.",0.88,0.78,"Official DoD announcement is public and exact for the initial task order, but current USAspending obligation snapshot is $652.4M; keep below link gate pending amount snapshot correction."
government_contract_HII_N0002423C2307,HII,HUNTINGTON INGALLS INCORPORATED,N0002423C2307,N0002423C2307,2023-08-01,2023-09-06T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3517358/contracts-for-sep-6-2023/,"Contracts For Sep. 6, 2023",DoD update stated the Aug. 2023 contract announcements for General Dynamics Bath Iron Works N00024-23-C-2305 and Huntington Ingalls Ingalls Shipbuilding N00024-23-C-2307 did not include funding amounts and later disclosed 10 DDG 51 ships totaling $14.581 billion across both firms.,0.88,0.74,Official source links the contract but public economics are combined across GD and HII and the initial award lacked funding amounts; not model eligible.
government_contract_RDW_FA945324CX039,RDW,"LOADPATH, LLC",FA945324CX039,FA945324CX039,2024-09-24,2024-12-10T07:32:00-05:00,company_press_release,https://www.streetinsider.com/Corporate+News/Redwire+Corporation+%28RDW%29+Awarded+%2445+Million+Contract+from+Air+Force+Research+Laboratory+to+Advance+Enhanced+Space-Based+Capabilities+for+the+Warfighter/24085109.html,Redwire Corporation Awarded $45 Million Contract from Air Force Research Laboratory to Advance Enhanced Space-Based Capabilities for the Warfighter,"StreetInsider timestamped the Redwire release at Dec. 10, 2024 7:32 AM EST. The release says Redwire was awarded a $45.4696 million Air Force Research Laboratory contract for prototype software and hardware for mission critical technologies. Linked to LoadPath USAspending contract FA945324CX039 with a $15.4 million current obligation snapshot.",0.84,0.82,"Public company announcement occurred after the government award date; include as a cautious link because LoadPath is mapped to Redwire and the economics/program match, but first-public-awareness should be rechecked against DoD/Defense Daily before modeling."
government_contract_LMT_N0001923C0003,LMT,LOCKHEED MARTIN CORPORATION,N0001923C0003,N0001923C0003,2022-12-23,2026-04-23T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4468224/contracts-for-april-23-2026/,"Contracts for April 23, 2026","Official DoD daily contract announcement excerpt: of $28,050,000 will be obligated at time of award and will not expire at the end of the current fiscal year. This contract was not competitively procured in accordance with 10 U.S. Code 3204(a)(1) (only one responsible source and no other supplies or services will satisfy agency requirements). Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-26-C-2132). Lockheed Martin Corp., Lockheed Martin Aeronautics Co., Fort Worth, Texas, is awarded a $177,493,428 modification (P00022) to a cost-plus-incentive-fee contract (N0001923C0003). This modification adds scope to provide all touch labor and reach-back engineerin... Linked to USAspending event government_contract_LMT_N0001923C0003 and undashed contract N0001923C0003; candidate recipient LOCKHEED MARTIN CORPORATION, ticker LMT, current obligation snapshot $24.5B, program THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NO....",0.88,0.84,Matched exact DoD contract identifier N0001923C0003 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2026/04/dod-contracts_4468224.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_HII_N0002424C2473,HII,HUNTINGTON INGALLS INCORPORATED,N0002424C2473,N0002424C2473,2024-09-20,2024-09-24T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3916067/contracts-for-sep-24-2024/,"Contracts For Sep. 24, 2024","Official DoD daily contract announcement excerpt: hipbuilding and conversion (Navy) funds in the amount of $449,000,000 (99%); and fiscal 2021 shipbuilding and conversion (Navy) funds in the amount of $1,000,000 (1%), will be obligated at time of award and will not expire at the end of the current fiscal year. This contract was not competitively procured in accordance with 10 U.S. Code 2304(c)(1) and 10 U.S. Code 3204(a)(1) (only one responsible source and no other supplies or services will satisfy agency requirements). Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-24-C-2473). Huntington Ingalls Inc., Pascagoula, Mississippi, is awarded a $3,673,365,244... Linked to USAspending event government_contract_HII_N0002424C2473 and undashed contract N0002424C2473; candidate recipient HUNTINGTON INGALLS INCORPORATED, ticker HII, current obligation snapshot $1.7B, program LPD 33, 34, AND 35 DD&CS.",0.88,0.84,Matched exact DoD contract identifier N00024-24-C-2473 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2024/09/dod-contracts_3916067.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_SAIC_W31P4Q21F0095,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,W31P4Q21F0095,W31P4Q21F0095,2021-03-03,2025-03-21T17:00:15-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4131540/contracts-for-mar-21-2025/,"Contracts For Mar. 21, 2025","Official DoD daily contract announcement excerpt: e, was awarded a $588,594,137 hybrid (firm-fixed-price and fixed-price with economic price adjustment) contract for the Tactical Fuel Distribution System. Bids were solicited via the internet with three received. Work locations and funding will be determined with each order, with an estimated completion date of March 21, 2030. Army Contracting Command, Detroit Arsenal, Michigan, is the contracting activity (W912CH-25-D-0033). Science Applications International Corp., Reston, Virginia, was awarded a $14,989,577 modification (P00154) to contract W31P4Q-21-F-0095 for modeling and simulation and development engineering services. Work locations... Linked to USAspending event government_contract_SAIC_W31P4Q21F0095 and undashed contract W31P4Q21F0095; candidate recipient SCIENCE APPLICATIONS INTERNATIONAL CORPORATION, ticker SAIC, current obligation snapshot $748.1M, program SINGLE AWARD TASK ORDER AGAINST GSA OASIS UR (POOL 4) FOR HWIL AND M&S DEVELOPMENT ENGINEERING SERVICES TO PROVIDE FU....",0.88,0.84,Matched exact DoD contract identifier W31P4Q-21-F-0095 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/03/dod-contracts_4131540.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_HII_N0002424C2106,HII,HUNTINGTON INGALLS INC,N0002424C2106,N0002424C2106,2023-12-01,2026-03-05T17:01:49-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4423583/contracts-for-march-5-2026/,"Contracts for March 5, 2026","Official DoD daily contract announcement excerpt: procurement (Air Force) funds in the amount of $18,503,833; fiscal 2024 aircraft procurement (Navy) funds in the amount of $18,503,834; and non-U.S. DOW participants funds in $8,242,333 will be obligated at time of award, $37,007,667, of which will expire at the end of the current fiscal year. This contract was not competed. Naval Air Systems Command, Patuxent River, Maryland, is the contracting activity. Huntington Ingalls Inc., Newport News, Virginia, is awarded a $60,000,000 cost-plus-fixed-fee modification to a previously awarded contract (N00024-24-C-2106) for additional long lead-time material required for the accomplishment of the U... Linked to USAspending event government_contract_HII_N0002424C2106 and undashed contract N0002424C2106; candidate recipient HUNTINGTON INGALLS INC, ticker HII, current obligation snapshot $1.2B, program CVN 75 RCOH ADVANCE PLANNING.",0.88,0.84,Matched exact DoD contract identifier N00024-24-C-2106 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2026/03/dod-contracts_4423583.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_SAIC_N0002422C6419,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,N0002422C6419,N0002422C6419,2021-11-23,2026-05-21T17:00:20-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4498916/contracts-for-may-21-2026/,"Contracts for May 21, 2026","Official DoD daily contract announcement excerpt: ight-year ordering period up to the contract award ceiling amount. There are no options. Work will be performed in San Diego, California; Herndon, Virginia; Manassas, Virginia; Reston, Virginia; and Virginia Beach, Virginia. Work is expected to be completed by May 2034. Naval Information Warfare Systems Command, San Diego, California, is the contracting activity. Science Applications International Corp., Reston, Virginia, is awarded a $112,302,900 firm-fixed-price, cost-plus-fixed-fee, and cost-only modification to previously awarded contract (N00024-22-C-6419) to exercise options for the production, spares, production support material, en... Linked to USAspending event government_contract_SAIC_N0002422C6419 and undashed contract N0002422C6419; candidate recipient SCIENCE APPLICATIONS INTERNATIONAL CORPORATION, ticker SAIC, current obligation snapshot $509.6M, program MK 48 MOD 7 AB/TC AND FUEL TANK SECTION.",0.88,0.84,Matched exact DoD contract identifier N00024-22-C-6419 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2026/05/dod-contracts_4498916.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_SAIC_W31P4Q21F0033,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,W31P4Q21F0033,W31P4Q21F0033,2021-01-06,2025-02-27T17:00:22-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4081466/contracts-for-feb-27-2025/,"Contracts For Feb. 27, 2025","Official DoD daily contract announcement excerpt: 424,474 modification (P0007) to contract W31P4Q-21-F B004 for technical support for prototype integration facility. Work will be performed at Joint Base Andrews, Maryland, with an estimated completion date of Feb. 24, 2026. Fiscal 2025 operation and maintenance, Air Force funds in the amount of $9,424,474 were obligated at the time of the award. Army Contracting Command, Redstone Arsenal, Alabama, is the contracting activity. Science Applications International Corp., Reston, Virginia, was awarded an $8,319,635 modification (P00170) to contract W31P4Q-21-F-0033 for engineering services for high fidelity aviation system simulators. Bids were... Linked to USAspending event government_contract_SAIC_W31P4Q21F0033 and undashed contract W31P4Q21F0033; candidate recipient SCIENCE APPLICATIONS INTERNATIONAL CORPORATION, ticker SAIC, current obligation snapshot $510.7M, program SINGLE AWARD TO AGAINST GSA OASIS UR (POOL 5A) FOR HWIL AVIATION SYSTEMS ENGINEERING SERVICES TO PROVIDE FULL LIFE CY....",0.88,0.84,Matched exact DoD contract identifier W31P4Q-21-F-0033 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/02/dod-contracts_4081466.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_HII_N0002424C2467,HII,HUNTINGTON INGALLS INCORPORATED,N0002424C2467,N0002424C2467,2023-11-17,2024-09-24T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3916067/contracts-for-sep-24-2024/,"Contracts For Sep. 24, 2024","Official DoD daily contract announcement excerpt: ligated at time of award and will not expire at the end of the current fiscal year. This contract was not competitively procured in accordance with 10 U.S. Code 2304(c)(1) and 10 U.S. Code 3204(a)(1) (only one responsible source and no other supplies or services will satisfy agency requirements). Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-24-C-2473). Huntington Ingalls Inc., Pascagoula, Mississippi, is awarded a $3,673,365,244 fixed-price incentive (firm-target) modification to previously awarded contract (N00024-24-C-2467) to definitize the advance procurement of long lead time material procurement an... Linked to USAspending event government_contract_HII_N0002424C2467 and undashed contract N0002424C2467; candidate recipient HUNTINGTON INGALLS INCORPORATED, ticker HII, current obligation snapshot $807.0M, program LHA 10 ADVANCE PROCUREMENT.",0.88,0.84,Matched exact DoD contract identifier N00024-24-C-2467 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2024/09/dod-contracts_3916067.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_GD_N0002423C2305,GD,BATH IRON WORKS CORPORATION,N0002423C2305,N0002423C2305,2023-08-01,2025-07-31T17:00:15-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4261297/contracts-for-jul-31-2025/,"Contracts For Jul. 31, 2025","Official DoD daily contract announcement excerpt: le locations in the contiguous U.S. and outside the contiguous U.S. and is expected to be completed Feb. 28, 2026, if all options are exercised. This contract was a sole source acquisition. Fiscal 2025 operation and maintenance funds in the amount of $336,757 will be obligated at time of award. The Air Force Life Cycle Management Center, Robins Air Force Base, Georgia, is the contracting activity. NAVY General Dynamics, Bath Iron Works, Bath, Maine, is awarded a fixed-price incentive (firm-target) modification to a previously awarded contract (N00024-23-C-2305) to exercise the fiscal 2025 option for construction of an Arleigh Burke-class s... Linked to USAspending event government_contract_GD_N0002423C2305 and undashed contract N0002423C2305; candidate recipient BATH IRON WORKS CORPORATION, ticker GD, current obligation snapshot $5.0B, program CONSTRUCTION OF DDG 51 SHIPS FY23-27.",0.88,0.84,Matched exact DoD contract identifier N00024-23-C-2305 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/07/dod-contracts_4261297.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_LMT_W31P4Q24C0022,LMT,LOCKHEED MARTIN CORPORATION,W31P4Q24C0022,W31P4Q24C0022,2024-06-28,2024-06-28T17:02:19-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3821857/contracts-for-jun-28-2024/,"Contracts For Jun. 28, 2024","Official DoD daily contract announcement excerpt: ifornia; Wichita, Kansas; Lake Mary, Florida; Pinellas Park, Florida; Foothill Ranch, California; Ronkonkoma, New York; Camden, Arkansas; Chelmsford, Massachusetts; Lufkin, Texas; Ocala, Florida; Archibald, Pennsylvania; Lincoln, Nebraska; and Grand Prairie, Texas, with an estimated completion date of June 30, 2027. Fiscal 2024 missile procurement, Army funds and Foreign Military Sales funds in the amount of $5,278,302,998 were obligated at the time of the award. Army Contracting Command, Redstone Arsenal, Alabama, is the contracting activity (W31P4Q-24-C-0022). Georgia Vocational Rehabilitation Agency, Tucker, Georgia, was awarded a $329,... Linked to USAspending event government_contract_LMT_W31P4Q24C0022 and undashed contract W31P4Q24C0022; candidate recipient LOCKHEED MARTIN CORPORATION, ticker LMT, current obligation snapshot $7.8B, program EXECUTE PHASED ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) MISSILE PRODUCTION....",0.88,0.84,Matched exact DoD contract identifier W31P4Q-24-C-0022 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2024/06/dod-contracts_3821857.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_LMT_N0001924C0039,LMT,LOCKHEED MARTIN CORPORATION,N0001924C0039,N0001924C0039,2024-06-28,2025-12-19T17:00:40-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4365523/contracts-for-dec-19-2025/,"Contracts For Dec. 19, 2025","Official DoD daily contract announcement excerpt: 6. The total value of the contract, including unexercised options, is $73,187,618. The principal place of performance is Falls Church, Virginia. The Defense Health Agency, Professional Services Contracting Division, Falls Church, Virginia, is the contracting activity. (Awarded Dec. 5, 2025) NAVY Lockheed Martin Corp., Lockheed Martin Aeronautics Co., Fort Worth, Texas, is awarded a $3,626,277,130 modification (P00028) to a previously awarded cost-plus-fixed-fee, cost-plus-incentive-fee, fixed-price-incentive-fee, and firm-fixed-price contract (N0001924C0039). This modification exercises an option to provide continued logistics support to i... Linked to USAspending event government_contract_LMT_N0001924C0039 and undashed contract N0001924C0039; candidate recipient LOCKHEED MARTIN CORPORATION, ticker LMT, current obligation snapshot $6.2B, program CY24 AVSC SUPPLY SUPPORT.",0.88,0.84,Matched exact DoD contract identifier N0001924C0039 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4365523.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_HII_N0002421C4205,HII,HUNTINGTON INGALLS INCORPORATED,N0002421C4205,N0002421C4205,2021-05-28,2026-04-03T17:00:05-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4451701/contracts-for-april-3-2026/,"Contracts for April 3, 2026","Official DoD daily contract announcement excerpt: Home :: Military :: Library :: News :: 2026 :: April :: Military Menu Introduction Systems Facilities Agencies Industry Operations Countries Hot Documents News Reports Policy Budget Congress Links WMD Intelligence Homeland Security Space Military Contracts Contracts for April 3, 2026 NAVY Huntington-Ingalls Industries Inc., Ingalls Shipbuilding Division, Pascagoula, Mississippi, is being awarded a $83,623,165 hybrid cost-plus award fee, and cost only modification to a previously awarded contract (N00024-25-C-4229), a continuation contract for (N00024-21-C-4205) to exercise options for the accomplishment of the planning yard support for amp... Linked to USAspending event government_contract_HII_N0002421C4205 and undashed contract N0002421C4205; candidate recipient HUNTINGTON INGALLS INCORPORATED, ticker HII, current obligation snapshot $342.8M, program LPD PY CONTRACT AWARD.",0.88,0.84,Matched exact DoD contract identifier N00024-21-C-4205 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2026/04/dod-contracts_4451701.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_HII_N0002422C2300,HII,HUNTINGTON INGALLS INCORPORATED,N0002422C2300,N0002422C2300,2022-01-13,2024-08-30T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3891642/contracts-for-aug-30-2024/,"Contracts For Aug. 30, 2024","Official DoD daily contract announcement excerpt: ension Auxiliary Airfield, South Atlantic Ocean, and is expected to be completed by Feb. 18, 2026. This contract was a competitive acquisition and one offer was received. Fiscal 2024 operations and maintenance funds in the amount of $11,990,774 are being obligated at the time of award. The 45th Contracting Squadron, Patrick Space Force Base, Florida, is the contracting activity (FA2521-24-C-0021). NAVY Huntington Ingalls Inc., Pascagoula, Mississippi, is awarded a $228,293,732 cost-plus-incentive-fee modification to previously awarded contract N00024-22-C-2300 for the DDG 1002 Combat System Availability (CSA) and Mission Systems Activation... Linked to USAspending event government_contract_HII_N0002422C2300 and undashed contract N0002422C2300; candidate recipient HUNTINGTON INGALLS INCORPORATED, ticker HII, current obligation snapshot $305.6M, program DDG 1002 SHORE SUPPORT.",0.88,0.84,Matched exact DoD contract identifier N00024-22-C-2300 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2024/08/dod-contracts_3891642.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
